index,id,number,repo_id,created_at,closed_at,state,title,body,total_comments,total_commits,labels
0,705695231,2486,42757577,2021-08-06 19:16:47,2021-08-06 20:16:00,closed,Fix minor typo in installation docs,,1,1,[]
1,695192184,2480,42757577,2021-07-22 13:38:15,2021-08-02 18:54:24,closed,DOC: add `mark_trail` to user guide's list of marks,"I hope I'm not missing anything obvious, but it seems trail mark is missing from the [list of marks in the user guide](https://altair-viz.github.io/user_guide/marks.html).",1,1,[]
2,645302244,2466,42757577,2021-05-16 11:30:14,,open,fix: remove webdriver default argument to save,This PR addresses https://github.com/altair-viz/altair_saver/issues/72,0,2,[]
3,612840509,2454,42757577,2021-04-10 05:43:03,,open,Adding 2 examples on using custom svg shapes,"Last year I was able to get some cool graphs using custom SVG shapes with @jakevdp 's help. I eventually ended up emulating a lot of cool graphs and put them on my project website: https://armsp.github.io/covidviz/

This is a PR that adds simplified examples of just the maps with custom SVG markers.

## Example 1: custom_svg_mark_geospatial.py
This example shows how to use custom SVG shapes as marks on Geospatial plots.   

_Since the data for this plot is not available in vega-datasets, you'd have to download the data hosted on my personal repo_ - https://github.com/armsp/datasets/blob/master/covid_cases_april_6.csv

## Example 2: interactive_time_series_geospatial_chart.py
This example shows how to use range slider that lets you choose a day which is used by the selection to select data only for that day to visualize surge in per-capita cases of covid-19. The marks are custom SVG shapes (a vertical line) on a geospatial plot (it looks like a bar plot on a map). Slide the slider knob to see how the selection changes the data and hence the plot.   

_Since the data for this plot is not available in vega-datasets, you'd have to download the data hosted on my personal repo_ - https://github.com/armsp/datasets/blob/master/past_2_weeks_per_capita.csv

## Some Issues
There are some [guidelines](https://github.com/altair-viz/altair/blob/master/CONTRIBUTING.md#adding-examples) on things to take care of when adding examples. Unfortunately I have broken a few of them. I do not know the best way to fix them. So I am hoping that the maintainers would guide me on the best possible way to fix them so that the PR is in a state that can be merged for the next release cycle.

Things I believe I have not followed -
1. The data for the `states` base layer is requested from the CDN providers for us-atlas project : *external calls to data*
2. The data for plots is hosted on my personal repo : *external calls to data*
3. I am not sure of the category of the first plot - `maps` OR `other charts`
",1,2,[]
4,611934324,2452,42757577,2021-04-08 21:02:20,,open,fixed typo in transform_filter documentation ,"There is a a typo in the [documentation](https://altair-viz.github.io/user_guide/transform/filter.html#user-guide-filter-transform) for `.filter_transform()` as  mentioned in #2434, where the description of a chart doesn't match the specification. 

The specification states ""here we plot US population distributions for all data except the years 1950-1960..."", but the code removes the years 1900-1950 with following filter:

```python
.transform_filter(
    {'not': alt.FieldRangePredicate(field='year', range=[1900, 1950])}
)
```

At first, I had fixed the typo by changing the text to say ""1900-1950"".  But for some reason, I decided it seemed more reasonable to remove the years 1950-1960 rather than 1900-1950. 

",0,2,[]
5,608572556,2445,42757577,2021-04-04 16:25:58,2021-04-04 16:59:23,closed,Add Hexbin Example to docs,"I like to use hexbin charts, and thought it would be nice to include a example to altair's documentation. Please feel free to review and eventually correct or extend my contribution, if you think it is worth merging with your master branch.

As always, thank you for your great work!",1,1,[]
6,601783366,2433,42757577,2021-03-26 17:09:52,,open,Information about accessing local files,A small change to the docs.,0,1,[]
7,579589005,2420,42757577,2021-02-24 20:29:17,2021-02-24 21:20:32,closed,fix typos in Contributing.md,I fixed a few typos in Contributing.md. ,1,1,[]
8,579398672,2419,42757577,2021-02-24 15:39:33,,open,fix histograms,Implements solution discussed in issue #2411 (based on https://github.com/vega/vega-lite/issues/5403) for the examples [Layered Histogram](https://altair-viz.github.io/gallery/layered_histogram.html) and [Facetted Scatterplot with marginal histograms](https://altair-viz.github.io/gallery/scatter_marginal_hist.html). ,2,3,[]
9,578790389,2417,42757577,2021-02-23 22:12:47,2021-02-23 22:28:39,closed,Add issue templates,"Here is a suggestion for what the issue templates could look like.
",0,1,[]
10,577962567,2415,42757577,2021-02-22 21:45:59,,open,Update resource section,"Somehow I missed that this section already existed when opening #2414. It was quite out of date, so I removed packages that haven't seen updates in a few years and added new ones as well a section on the learning resources. I also attempted to make this more discoverable by adding links from the Overview and Gallery pages.

close #2414 ",8,3,[]
11,576684084,2410,42757577,2021-02-19 19:58:36,2021-02-20 16:54:17,closed,Prevent marks from extending beyond the chart area in error bar example,"This is a fix to [the simple error bar example](https://altair-viz.github.io/gallery/simple_scatter_with_errorbars.html). Currently the marks extend beyond chart area, like this:

![image](https://user-images.githubusercontent.com/4560057/108554413-e828eb00-72a8-11eb-86dd-24fd68e4afdc.png)

This changes it to:

![image](https://user-images.githubusercontent.com/4560057/108554376-d8110b80-72a8-11eb-9104-b9b140a145e9.png)

Btw, I started trying to help out with some of the support related aspect by replying to Altair questions here and on SO, please let me know if you generally prefer to reply yourself instead.

I can also go through the GitHub issues and ping the authors to close the ones that are resolved (or close them myself if you would be ok with that), but since this would generate quite some noise in your inbox, I thought I would ask first if you would like me to do that or not.
",11,1,[]
12,571199236,2404,42757577,2021-02-10 15:43:02,2021-02-10 18:15:32,closed,Use colors specified in line_scale,This change will use the colors specified in `line_scale`. Previously `line_scale` was never used.,1,1,[]
13,570835719,2403,42757577,2021-02-10 05:38:42,2021-02-10 19:46:32,closed,Avoid confusing Python by returning generic objects for magic attributes.,"As reported in #2402 , we recently came up against an issue whereby Altair charts could not be deep-copied. The issue is that in three locations a `__getattr__` method is implemented in such a way that it returns a object for any named attribute. This is usually helpful, but it sometimes confuses Python when it coincides with a Python ""magic"" method/attribute (which are always of form `__<name>__`; and in this case in particular, `__deepcopy__` is looked up but then doesn't behave in the way `copy.deepcopy` expects.

This patch causes Altair to avoid returning generic objects as attributes for Python magic names, fixing this (and other similar) issue(s).

closes #2402 ",2,1,[]
14,570477414,2401,42757577,2021-02-09 17:37:45,2021-02-09 21:25:06,closed,Correct boxplot example to reflect title,"If you prefer I can change the title instead, but currently it does not match with the example code. I think it is more useful to see the non-default behavior and expanded a bit on the note regarding the default, but up to you.",1,1,[]
15,568104421,2400,42757577,2021-02-05 05:40:12,2021-02-05 18:49:59,closed,Force double_precision=15 in utils.data:_data_to_json_string,"Leaving it implied at pandas' [default of 10](https://github.com/pandas-dev/pandas/blob/5d65e0a3092f3c30169d0c0a3d0227e985104a56/pandas/io/json/_json.py#L55) makes the altair_data_server that uses this method drop numbers between 9.999e-16 and 5e-11, leading to unexpected and imo bad behavior like in https://github.com/altair-viz/altair_data_server/issues/45.",1,1,[]
16,567912219,2399,42757577,2021-02-04 20:59:30,,open,support serializing nullable float data,"Fixes #2398. 
This PR introduces support for serialising pandas nullable data types for float data (`Float32Dtype` and `Float64Dtype`) that were [introduced](https://pandas.pydata.org/pandas-docs/dev/whatsnew/v1.2.0.html#experimental-nullable-data-types-for-float-data) in pandas 1.2.0.

```python
import pandas as pd
import altair as alt

df = pd.DataFrame({'x': [1, 2, 3, 4, 5, 6, 7], 'y': [10, 30, None, 15, None, 40, 20]}, 
                  dtype=pd.Float32Dtype()) # pd.Float64Dtype()

alt.Chart(df).mark_line(point=True).encode(x='x', y='y')
```
<img width=""153"" alt=""image"" src=""https://user-images.githubusercontent.com/5186265/106954489-2adcb600-6734-11eb-8303-6ebf7b45dc70.png"">
",2,2,[]
17,564706558,2397,42757577,2021-01-31 18:42:24,2021-02-08 22:32:18,closed,add comet chart example,Here's the example resulting from https://github.com/altair-viz/altair/issues/2395.,2,1,[]
18,553531754,2386,42757577,2021-01-12 15:11:05,2021-01-12 16:59:03,closed,Add white background to cars.png to support dark mode Github,"cars.png is not legible when using Github in dark mode because the background is transparent. Here is a screenshot of the diff when pointing README.md to https://raw.githubusercontent.com/jonathangjertsen/altair/master/images/cars.png instead of https://raw.githubusercontent.com/altair-viz/altair/master/images/cars.png:

![Capture](https://user-images.githubusercontent.com/7355797/104332408-6fd44a80-54f0-11eb-961c-944c015b7f98.PNG)

There may be other images with the same issue in the docs etc, I haven't checked.",1,2,[]
19,544631466,2375,42757577,2020-12-23 07:52:36,2020-12-23 17:19:52,closed,Docs: Flip extent='max-min' to extent='min-max',"Fixed a small mistake in user_guide/marks

- extent='max-min' is not a valid argument -> Changed to extent='min-max'",1,1,[]
20,529795834,2355,42757577,2020-11-30 20:34:56,2020-12-01 00:37:55,closed,allow Paths in save(),Fixes #2354,2,2,[]
