index,id,number,repo_id,created_at,closed_at,state,title,body,total_comments,total_commits,labels
0,707484123,11492,3834332,2021-08-10 16:50:51,2021-08-10 19:31:13,closed,Document Refs Cleanup (part 2),"[take three, new branch]

ref: #11486

This smaller PR removes the reference cycles introduced by our wrappers for Tornado's callbacks:

* The wrappers had a back-reference to `document` that is completely unused and unnecessary. This was removed.
* Removes the `_callback_objs_by_callable` cruft that has documents referencing session callback wrappers directly

Before this change,  uncollected documents could occur with referrers through the methods for these callback wrappers:
```
2021-08-09 13:15:08,752   uncollected Documents: 1
2021-08-09 13:15:08,757 [[<bokeh.document.document.Document object at 0x19de9efd0>], <bound method Document.add_next_tick_callback of <bokeh.document.document.Document object at 0x19de9efd0>>, <bound method Document.add_periodic_callback of <bokeh.document.document.Document object at 0x19de9efd0>>, <bound method Document.add_timeout_callback of <bokeh.document.document.Document object at 0x19de9efd0>>, <bound method Document.apply_json_event of <bokeh.document.document.Document object at 0x19de9efd0>>]
```
After this change, there is only a reference via the `apply_json_event` method (a different cause, to be resolved separately in the next PR)
```
2021-08-09 13:57:56,069   uncollected Documents: 1
2021-08-09 13:57:56,073 [[<bokeh.document.document.Document object at 0x1a0f524f0>], <bound method Document.apply_json_event of <bokeh.document.document.Document object at 0x1a0f524f0>>
```

",1,2,"['status: accepted', 'type: task', 'reso: completed']"
1,707480808,11491,3834332,2021-08-10 16:46:34,2021-08-10 16:48:21,closed,Refs Cleanup (part 2),"take two

ref : https://github.com/bokeh/bokeh/pull/11486
",0,13,['status: declined']
2,707431745,11490,3834332,2021-08-10 14:58:14,,open,WIP: docstrings for gallery examples,"Adding ReST docstrings to examples in gallery. 

- [x] issues: fixes #11489
",3,2,['status: WIP']
3,707119379,11488,3834332,2021-08-10 08:00:28,2021-08-10 08:38:12,closed,Stub `OpenURL.navigate()` in unit tests to avoid popups,"fixes #11487 
",0,1,['status: accepted']
4,706874959,11486,3834332,2021-08-09 21:41:04,2021-08-10 14:45:56,closed,Document Refs Cleanup (part 2),"[Not ready for merge, will rebase after #11482 is merged]

This smaller PR removes the reference cycles introduced by our wrappers for Tornado's callbacks:

* The wrappers had a back-reference to `document` that is completely unused and unnecessary. This was removed.
* Removes the `_callback_objs_by_callable` cruft that has documents referencing session callback wrappers directly

Before this change,  uncollected documents could occur with referrers through the methods for these callback wrappers:
```
2021-08-09 13:15:08,752   uncollected Documents: 1
2021-08-09 13:15:08,757 [[<bokeh.document.document.Document object at 0x19de9efd0>], <bound method Document.add_next_tick_callback of <bokeh.document.document.Document object at 0x19de9efd0>>, <bound method Document.add_periodic_callback of <bokeh.document.document.Document object at 0x19de9efd0>>, <bound method Document.add_timeout_callback of <bokeh.document.document.Document object at 0x19de9efd0>>, <bound method Document.apply_json_event of <bokeh.document.document.Document object at 0x19de9efd0>>]
```
After this change, there is only a reference via the `apply_json_event` method (a different cause, to be resolved separately in the next PR)
```
2021-08-09 13:57:56,069   uncollected Documents: 1
2021-08-09 13:57:56,073 [[<bokeh.document.document.Document object at 0x1a0f524f0>], <bound method Document.apply_json_event of <bokeh.document.document.Document object at 0x1a0f524f0>>
```

---

@p-himik I know it has been some time since #7687 but I'd appreciate if you can take a quick look to confirm my conclusion that `_callback_objs_by_callable` is cruft. I *think* perhaps it was only needed to support the deprecated (now deleted) ""remove by value"" codepaths. Some observations I had:

* From inspecation, the bookkeeping around `_callback_objs_by_callable` seemed only to serve itself and was not used as part of any other current process I could find (it was previously part of the deprecated remover path, though)
* All current tests pass after simply removing everything associated with `_callback_objs_by_callable` 
* I ran two MREs for the OP (and a dupe of it) and could no reproduce any problems (on OSX) after this change. 
",3,2,"['status: declined', 'type: task']"
5,706721907,11485,3834332,2021-08-09 17:55:54,2021-08-10 17:26:48,closed,Add panel to downstream tests,As the title says. Can also finally switch to pytest for HoloViews tests as soon as I tag a HoloViews 2.0 dev release.,9,2,"['status: accepted', 'type: task', 'reso: completed', 'tag: CI']"
6,706702060,11484,3834332,2021-08-09 17:22:25,2021-08-09 17:59:02,closed,revert kwarg-only Theme args,"- [x] issues: fixes #11483

",0,1,['status: accepted']
7,705782479,11482,3834332,2021-08-06 22:49:03,2021-08-10 14:45:52,closed,Document Refs Cleanup (part 1),"ref: #11477

This is the first of a few PRs that will eventually #11477 Only the first items directly relates to that issues, but the rest is some very overdue cleanup that needs to happen before the bigger follow-on PRs.

#### Avoid superflous `curstate` doc  in apps

This streamlines ""curdoc patching"" woith a context mananger that avoids the single dangling doc that gets reported as uncollected in Bokeh apps due to how `State` functions. This also makes the code paths better by no longer requiring explicit cleanup/un-patching. (The same treatment was given to `bokeh.io` monkey patching)

#### Factor `HasDocumentRef` mixing. 

This removes bad duplication in the callback manager mixins and will allow for more easily moving to weakrefs for docs later. 

#### Remove some cruft from `bokeh.core.query`

Callable queries with contexts add compllexity but appear completely unused and have never been demonstrated. 

#### Split up `model.py`

Gets it down from 1 kLOC to a ""manageable"" 600 lines. Also now explicitly list public API which is goo

##### Add some missing tests

Some of the most low-level funcs in `model.py` have never had any tests. This PR is by no means complete but at least now there is some coverage. ",7,11,"['status: accepted', 'type: task', 'reso: completed']"
8,705046187,11480,3834332,2021-08-05 21:51:38,2021-08-09 21:47:45,closed,Fix a race condition in MathJax loading code,"- [x] integration tests
- [x] investigate and fix readiness signaling
- [x] robustify `notify_finished()` within a render iteration (maybe separate PR)
- [ ] rewrite tests without `try {} finally {}` (maybe separate PR)

fixes #11479
fixes #11457",0,11,['status: accepted']
9,704384876,11478,3834332,2021-08-05 05:16:19,2021-08-05 05:52:53,closed,check base branch on deploy,"- [x] issues: fixes #11255

",0,1,['status: accepted']
