index,id,number,repo_id,created_at,closed_at,state,title,body,total_comments,total_commits,labels
0,597262990,130,149135719,2021-03-20 11:20:12,,open,Fixes #128,"<!--  Thanks for sending a pull request!  Here are some tips for you:
1. If this is your first time, read our contributor guidelines <https://github.com/spotify/chartify/blob/master/CONTRIBUTING.rst>
2. If the PR is unfinished, please prefix the subject line with [WIP], [DRAFT], or [RFC].
-->

**What this PR does / why we need it**:

**Which issue(s) this PR fixes**
<!-- optional; in `fixes #<issue number>, fixes #<issue_number>, ...` format, will close the issue(s) when PR gets merged: -->
Fixes #

**Special notes for your reviewer**:

**Release note**:
<!--  Write your release note:
1. Enter your extended release note in the below block. If the PR requires additional action from users switching to the new release, start the release note with the string ""action required: "".
2. If no release note is required, just write ""NONE"".
-->
```release-note

```
",1,1,[]
1,586755757,129,149135719,2021-03-08 13:04:30,,open,Change bokeh version requirement,"Chartify doesn't work with bokeh 2.3.0, so require <2.3.0 for now, until a fix is in place.

/Pelle

<!--  Thanks for sending a pull request!  Here are some tips for you:
1. If this is your first time, read our contributor guidelines <https://github.com/spotify/chartify/blob/master/CONTRIBUTING.rst>
2. If the PR is unfinished, please prefix the subject line with [WIP], [DRAFT], or [RFC].
-->

**What this PR does / why we need it**:

**Which issue(s) this PR fixes**
<!-- optional; in `fixes #<issue number>, fixes #<issue_number>, ...` format, will close the issue(s) when PR gets merged: -->
Fixes #

**Special notes for your reviewer**:

**Release note**:
<!--  Write your release note:
1. Enter your extended release note in the below block. If the PR requires additional action from users switching to the new release, start the release note with the string ""action required: "".
2. If no release note is required, just write ""NONE"".
-->
```release-note

```
",1,1,[]
2,584266376,127,149135719,2021-03-03 21:04:40,,open,Missed change - legend handling to adjust for deprecated legend keyword,"
**Fixes legend error**:
This change belongs with this commit but was likely missed.
https://github.com/spotify/chartify/commit/3af29e8a47fa5257e6faf5f2dd47baa4db1344e3#diff-17b8994a0f281801a29c52fc0dc9491168ac64e795936bc9d6aa663f7892311c

Problem reproduced when plotting with grouping and colors:
```
import chartify
import pandas as pd
df = pd.DataFrame.from_dict({""data"":[1,1,2,2,3,3], ""group"":[""a"",""a"",""a"",""b"",""b"",""b""]})
ch = chartify.Chart(x_axis_type='categorical')
ch.plot.scatter(
data_frame=df,
categorical_columns=""group"",
numeric_column=""data"",
color_column=""group"",
)
ch.show()
```
<details><summary>Error</summary>
<p>

```
---------------------------------------------------------------------------
ValueError                                Traceback (most recent call last)
<ipython-input-1-eae93029a0e8> in <module>
      7 categorical_columns=""group"",
      8 numeric_column=""data"",
----> 9 color_column=""group"",
     10 )
     11 ch.show()

~/.virtualenvs/murph_commonality/lib/python3.7/site-packages/chartify-3.0.3-py3.7.egg/chartify/_core/plot.py in scatter(self, data_frame, categorical_columns, numeric_column, size_column, color_column, color_order, categorical_order_by, categorical_order_ascending, alpha, marker)
   2050                 source=source,
   2051                 marker=marker,
-> 2052                 alpha=alpha
   2053                 )
   2054 

~/.virtualenvs/murph_commonality/lib/python3.7/site-packages/chartify-3.0.3-py3.7.egg/chartify/_core/plot.py in _plot_with_legend(method, **kwargs)
    126 
    127         if legend_label is not None:
--> 128             return method(**kwargs, legend_label=legend_label)
    129         elif legend_group is not None:
    130             return method(**kwargs, legend_group=legend_group)

~/.virtualenvs/murph_commonality/lib/python3.7/site-packages/bokeh/plotting/figure.py in scatter(self, *args, **kwargs)
   1088             return self.circle(*args, **kwargs)
   1089         else:
-> 1090             return self._scatter(*args, marker=marker_type, **kwargs)
   1091 
   1092     def hexbin(self, x, y, size, orientation=""pointytop"", palette=""Viridis256"", line_color=None, fill_color=None, aspect_scale=1, **kwargs):

~/.virtualenvs/murph_commonality/lib/python3.7/site-packages/bokeh/plotting/_decorators.py in wrapped(self, *args, **kwargs)
     52             for arg, param in zip(args, sigparams[1:]):
     53                 kwargs[param.name] = arg
---> 54             return create_renderer(glyphclass, self, **kwargs)
     55 
     56         wrapped.__signature__ = Signature(parameters=sigparams)

~/.virtualenvs/murph_commonality/lib/python3.7/site-packages/bokeh/plotting/_renderer.py in create_renderer(glyphclass, plot, **kwargs)
    129         # if it creates a new `LegendItem`, the referenced
    130         # renderer must already be present.
--> 131         update_legend(plot, legend_kwarg, glyph_renderer)
    132 
    133     return glyph_renderer

~/.virtualenvs/murph_commonality/lib/python3.7/site-packages/bokeh/plotting/_legends.py in update_legend(plot, legend_kwarg, glyph_renderer)
     54     kwarg, value = list(legend_kwarg.items())[0]
     55 
---> 56     _LEGEND_KWARG_HANDLERS[kwarg](value, legend, glyph_renderer)
     57 
     58 #-----------------------------------------------------------------------------

~/.virtualenvs/murph_commonality/lib/python3.7/site-packages/bokeh/plotting/_legends.py in _handle_legend_label(label, legend, glyph_renderer)
    129 def _handle_legend_label(label, legend, glyph_renderer):
    130     if not isinstance(label, str):
--> 131         raise ValueError(""legend_label value must be a string"")
    132     label = value(label)
    133     item = _find_legend_item(label, legend)

ValueError: legend_label value must be a string
```

**Special notes for your reviewer**:

**Release note**:
<!--  Write your release note:
1. Enter your extended release note in the below block. If the PR requires additional action from users switching to the new release, start the release note with the string ""action required: "".
2. If no release note is required, just write ""NONE"".
-->
```release-note

```

</p>
</details>


According to this Bokeh release 1.4.0 when using explicit legend_label, you can no longer pass legend label as a dictionary with ""value"" key.
https://docs.bokeh.org/en/latest/docs/releases.html#release-1-4-0",0,1,[]
3,568536726,125,149135719,2021-02-05 18:32:13,2021-02-05 18:36:42,closed,test,"<!--  Thanks for sending a pull request!  Here are some tips for you:
1. If this is your first time, read our contributor guidelines <https://github.com/spotify/chartify/blob/master/CONTRIBUTING.rst>
2. If the PR is unfinished, please prefix the subject line with [WIP], [DRAFT], or [RFC].
-->

**What this PR does / why we need it**:

**Which issue(s) this PR fixes**
<!-- optional; in `fixes #<issue number>, fixes #<issue_number>, ...` format, will close the issue(s) when PR gets merged: -->
Fixes #

**Special notes for your reviewer**:

**Release note**:
<!--  Write your release note:
1. Enter your extended release note in the below block. If the PR requires additional action from users switching to the new release, start the release note with the string ""action required: "".
2. If no release note is required, just write ""NONE"".
-->
```release-note

```
",0,1,[]
4,556223804,124,149135719,2021-01-16 19:44:59,2021-02-05 18:44:35,closed,Update tox.yml,"<!--  Thanks for sending a pull request!  Here are some tips for you:
1. If this is your first time, read our contributor guidelines <https://github.com/spotify/chartify/blob/master/CONTRIBUTING.rst>
2. If the PR is unfinished, please prefix the subject line with [WIP], [DRAFT], or [RFC].
-->

**What this PR does / why we need it**:

**Which issue(s) this PR fixes**
<!-- optional; in `fixes #<issue number>, fixes #<issue_number>, ...` format, will close the issue(s) when PR gets merged: -->
Fixes #

**Special notes for your reviewer**:

**Release note**:
<!--  Write your release note:
1. Enter your extended release note in the below block. If the PR requires additional action from users switching to the new release, start the release note with the string ""action required: "".
2. If no release note is required, just write ""NONE"".
-->
```release-note
NONE
```
",0,3,[]
5,555506427,123,149135719,2021-01-15 07:12:31,,open,Security Fix for Insecure Deserialization - huntr.dev,"https://huntr.dev/users/Anon-Artist has fixed the Insecure Deserialization vulnerability 🔨. Think you could fix a vulnerability like this?

Get involved at https://huntr.dev/

Q | A
Version Affected | ALL
Bug Fix | YES
Original Pull Request | https://github.com/418sec/chartify/pull/1
Vulnerability README | https://github.com/418sec/huntr/blob/master/bounties/pip/chartify/1/README.md

### User Comments:

### 📊 Metadata *
Arbitrary code exec vulnerability 

#### Bounty URL:  https://www.huntr.dev/bounties/1-pip-chartify

### ⚙️ Description *

Chartify is a Python library that makes it easy for data scientists to create charts. This package was vulnerable to Arbitrary code execution via Insecure YAML deserialization due to the use of a known vulnerable function load() in yaml.

### 💻 Technical Description *

This package was vulnerable to Arbitrary code execution due to the use of a known vulnerable function load() in YAML. Changing that to safe_load or using SafeLoader will fix the issue.

### 🐛 Proof of Concept (PoC) *

Install the package and run the below code:
```#!/usr/bin/env python3
from chartify._core.colors import *

payload = '''
!!python/object/new:type
  args: [""z"", !!python/tuple [], {""extend"": !!python/name:exec }]
  listitems: ""__import__('os').system('calc.exe')""
'''
open('pwn.yml', 'w+').write(payload)

CustomColors.from_yaml('hek', 'pwn.yml')
print(""pwned 🏴"")
```


### 🔥 Proof of Fix (PoF) *

After applying the fix, run the PoC again, `calc` wont pop and no code will be executed. Hence code exec is mitigated.


### 👍 User Acceptance Testing (UAT)

Only `SafeLoader` is used, which is the safer function, no breaking changes introduced.",1,6,[]
6,545507848,122,149135719,2020-12-25 03:48:38,2021-02-05 18:49:03,closed,"docs: fix simple typo, quanity -> quantity","There is a small typo in chartify/examples.py.

Should read `quantity` rather than `quanity`.


Semi-automated pull request generated by
https://github.com/timgates42/meticulous/blob/master/docs/NOTE.md",0,3,[]
7,514359747,121,149135719,2020-11-02 22:07:24,2020-11-02 22:11:05,closed,release 3.0.3,"<!--  Thanks for sending a pull request!  Here are some tips for you:
1. If this is your first time, read our contributor guidelines <https://github.com/spotify/chartify/blob/master/CONTRIBUTING.rst>
2. If the PR is unfinished, please prefix the subject line with [WIP], [DRAFT], or [RFC].
-->

**What this PR does / why we need it**:

**Which issue(s) this PR fixes**
<!-- optional; in `fixes #<issue number>, fixes #<issue_number>, ...` format, will close the issue(s) when PR gets merged: -->
Fixes #

**Special notes for your reviewer**:

**Release note**:
<!--  Write your release note:
1. Enter your extended release note in the below block. If the PR requires additional action from users switching to the new release, start the release note with the string ""action required: "".
2. If no release note is required, just write ""NONE"".
-->
```release-note

```
",0,1,[]
8,514352357,120,149135719,2020-11-02 21:57:35,2020-11-02 21:59:55,closed,gha: rename workflow to tox,"<!--  Thanks for sending a pull request!  Here are some tips for you:
1. If this is your first time, read our contributor guidelines <https://github.com/spotify/chartify/blob/master/CONTRIBUTING.rst>
2. If the PR is unfinished, please prefix the subject line with [WIP], [DRAFT], or [RFC].
-->

**What this PR does / why we need it**:

**Which issue(s) this PR fixes**
<!-- optional; in `fixes #<issue number>, fixes #<issue_number>, ...` format, will close the issue(s) when PR gets merged: -->
Fixes #

**Special notes for your reviewer**:

**Release note**:
<!--  Write your release note:
1. Enter your extended release note in the below block. If the PR requires additional action from users switching to the new release, start the release note with the string ""action required: "".
2. If no release note is required, just write ""NONE"".
-->
```release-note

```
",0,1,[]
9,514271142,119,149135719,2020-11-02 19:28:28,2020-11-02 21:35:23,closed,test: run tox using github actions,"<!--  Thanks for sending a pull request!  Here are some tips for you:
1. If this is your first time, read our contributor guidelines <https://github.com/spotify/chartify/blob/master/CONTRIBUTING.rst>
2. If the PR is unfinished, please prefix the subject line with [WIP], [DRAFT], or [RFC].
-->

**What this PR does / why we need it**:

**Which issue(s) this PR fixes**
<!-- optional; in `fixes #<issue number>, fixes #<issue_number>, ...` format, will close the issue(s) when PR gets merged: -->
Fixes #

**Special notes for your reviewer**:

**Release note**:
<!--  Write your release note:
1. Enter your extended release note in the below block. If the PR requires additional action from users switching to the new release, start the release note with the string ""action required: "".
2. If no release note is required, just write ""NONE"".
-->
```release-note

```
",0,1,[]
