index,id,number,repo_id,created_at,closed_at,state,title,body,total_comments,total_commits,labels
0,651253749,676,13384593,2021-05-24 11:21:29,,open,Changes in utils and smoothers files,Removes tsilb from pandas Timestamp class as is removed from current versions.,0,1,[]
1,621715738,675,13384593,2021-04-23 02:03:11,,open,fix(docs): Corrected typos in project documentation,Scope of changes restricted to docs,0,1,[]
2,551109071,672,13384593,2021-01-07 14:57:55,,open,"Link to an actively developed project called ""plotnine"" which provides ggplot functionality in python.","Link to an actively developed project called ""plotnine"" which provides ggplot functionality in python.",0,1,[]
3,368100372,669,13384593,2020-01-28 16:10:45,,open,Add a dynamic import of timestamp from pandas,"Pandas seems to have moved the timestamp import over version, see this [issue] on stack overflow (https://stackoverflow.com/questions/50591982/importerror-cannot-import-name-timestamp)

Note that I had this issue separately from the SO question so it's at least somewhat widespread",0,1,[]
4,358311151,668,13384593,2019-12-31 09:01:44,,open,fix pandas tslib error,,1,1,[]
5,350831059,667,13384593,2019-12-09 17:20:55,,open,add scale_y_date,Adapted the template from scale_x_date function to scale the y-axis instead.,0,1,[]
6,286478556,664,13384593,2019-06-09 15:36:05,,open,[*.py] Upgrade to latest version of pandas; Python 2/3 compatibility,"You'll also want to:
```
pip install statsmodels==0.10.0rc2 --pre
```

As per: https://github.com/statsmodels/statsmodels/issues/5747",6,17,[]
7,240015698,658,13384593,2018-12-20 00:22:06,,open,Update smoothers.py,This PR resolves timestamp error due to 'pandas.lib' error.,1,1,[]
8,220806781,656,13384593,2018-10-05 19:50:52,,open,Working copy of ggpy,"## What is this PR
This repository seems dead and I can't be bothered to keep waiting for the repo's owner to reply us. So, I've made a fork of the repo [here](www.github.com/sushinoya/ggpy) and I intend to fix or at least try to fix whatever issues remain with the current state of ggpy.

I am starting by fixing the most fundamental issue - pandas Timestamp import. I know that #643 and #647 address this.

I have no hopes of this PR getting merged since none of the others have been merged or even looked at. 

## Installation
Instead of `pip3 install ggpy` use `pip3 install git+https://github.com/sushinoya/ggpy`

## Contributing
If you all don't mind, you can make PRs and issues at www.github.com/sushinoya/ggpy and we can work together towards fixing them so that at least we have a proper working copy for our projects. Let me know if you have any suggestions or a better way to deal with this.",0,18,[]
9,201147000,650,13384593,2018-07-12 22:53:50,,open,Fixed 'make a histogram' link in README.md (issue #637),,0,1,[]
10,200196723,649,13384593,2018-07-09 19:28:29,,open,Updated geom_text.py,"geom_text() does not draw lines any more, resolving issue #595.",0,1,[]
11,198548019,648,13384593,2018-07-01 23:14:42,,open,Include LICENSE file in wheels,The license requires that all copies of the software include the license.  This makes sure the license is included in the wheels.  See the wheel documentation [here](https://wheel.readthedocs.io/en/stable/#including-the-license-in-the-generated-wheel-file) for more information.,0,1,[]
12,196495105,647,13384593,2018-06-21 15:40:41,,open,fixing incompatibility with pandas>=0.20.0,"Pandas made some modules private and deprecated: https://pandas.pydata.org/pandas-docs/stable/whatsnew.html#modules-privacy-has-changed
The moved Timestamp class is available from top-level namespace.

This patch fixes #617 and #618. I have tested it with pandas back to version v0.17.0 (October 9, 2015) under Python 3.6 .
Older versions were not tested as they do not compile on my machine out-of-the-box. Test reports with older versions are appreciated.",7,1,[]
