index,id,number,repo_id,created_at,closed_at,state,title,body,total_comments,total_commits,labels
0,683198048,143,54834492,2021-07-04 16:03:30,2021-07-04 16:03:39,closed,Hotfix: remove import of deleted method,Fixes #142.,0,1,[]
1,683063675,141,54834492,2021-07-03 18:47:59,2021-07-03 18:48:14,closed,Download example data from GitHub,,0,1,[]
2,683062148,140,54834492,2021-07-03 18:35:20,2021-07-03 18:35:29,closed,Remove geoplot from tests,"These don't make sense with geoplot gone.﻿
",0,1,[]
3,683061898,139,54834492,2021-07-03 18:33:05,2021-07-03 18:33:11,closed,Update README,"Lint the README.﻿
",0,1,[]
4,683060777,138,54834492,2021-07-03 18:24:30,2021-07-03 18:24:36,closed,Remove Binder materials,Unfortunately I don't really have enough time to put in the maintenance required to keep the Binder quickstart resource in an operable state.,0,1,[]
5,683060126,137,54834492,2021-07-03 18:18:06,2021-07-03 18:21:13,closed,"Lint, removed deprecated stuff",,0,1,[]
6,624262399,132,54834492,2021-04-27 12:28:10,2021-04-27 16:05:07,closed,Correct return-type when inline=False,"The plot functions do not return `matplotlib.figure.Figure` instances but `matplotlib.axis.Axis` instances when `inline=False`. Technically, they can also return `matplotlib.axes._subplots.AxesSubplot` instances when we are dealing with subplots, but I have left this out for clarity and since the subplot class inherits from the axis class, making them behave in the same way essentially. If you prefer, I can clarify this return-type behaviour in the documentation as well.",1,1,[]
7,545975230,125,54834492,2020-12-28 07:39:44,2020-12-28 16:13:38,closed,"docs: fix simple typo, seperate -> separate","There is a small typo in CONTRIBUTING.md.

Should read `separate` rather than `seperate`.


Semi-automated pull request generated by
https://github.com/timgates42/meticulous/blob/master/docs/NOTE.md",0,1,[]
8,525410607,124,54834492,2020-11-23 02:32:55,2020-11-23 17:34:43,closed,feature: simple memory optimization with a numpy parameter,Change to a simple optimization of memory due to the function of np.zeros being standard float64 to float32.,1,1,[]
9,493585909,121,54834492,2020-09-26 14:46:59,2020-09-26 22:13:23,closed,Update Readme.md to Correct a typo in Heat Map,"ORIGINAL:
""Entries marked `<1` or `>-1` are have a correlation that is close""

AFTER CORRECTION:
""Entries marked `<1` or `>-1` have a correlation that is close""",1,1,[]
10,456550848,117,54834492,2020-07-25 02:04:53,2020-07-26 13:01:21,closed,fixed error 116.,,0,1,[]
11,440937586,111,54834492,2020-06-27 17:11:43,2020-09-19 16:55:24,closed,Stop pointing to old version of python since package supports 3.4+,,1,1,[]
12,439582855,110,54834492,2020-06-25 00:12:41,2021-07-03 19:07:18,closed,introduce calculation of missing value patterns,This PR introduces a function to calculate missing patterns as described in https://github.com/ResidentMario/missingno/issues/101.,2,2,[]
13,373187731,98,54834492,2020-02-10 15:10:02,2020-02-10 16:33:40,closed,Add license to setup.py,,0,1,[]
14,342751893,97,54834492,2019-11-19 15:50:50,2019-11-19 18:02:21,closed,Include additional files in sdists,"Include some additional useful files in sdists.  In particular, include the license file, since the terms of the license requires it.  Also include tests, documentation, and files for downloading data if desired.",1,1,[]
15,301094044,94,54834492,2019-07-25 11:08:06,2021-07-03 18:12:45,closed,Introduce orientation to bar plot,"The dendrogram has an option to change the orientation from top-down to left-right. This is convenient when having a large amount of columns. The bar plot misses this option. To make the bar plot effective for large numbers of columns, it should have a similar behaviour. 

This pull requests adds the basic functionality. The `figsize` is not yet adjusted, this should be added.",8,3,[]
16,295817312,92,54834492,2019-07-09 15:48:53,2019-07-09 15:49:04,closed,Pull f-strings from code to maintain py3.4 compatibility.,,0,1,[]
17,295816408,91,54834492,2019-07-09 15:46:44,2019-07-09 15:47:01,closed,Remove deprecated function from README.,,0,1,[]
18,295815003,90,54834492,2019-07-09 15:43:27,2019-07-09 15:43:38,closed,Deprecate the geoplot function.,"This very rarely used functionality is now a `geoplot` (package) recipe. For an example, see the [San Francisco Street Trees example](https://residentmario.github.io/geoplot/gallery/plot_san_francisco_trees.html) in the `geoplot` gallery.",0,1,[]
