index,id,number,repo_id,created_at,closed_at,state,title,body,total_comments,total_commits,labels
0,707563255,3343,14579099,2021-08-10 18:20:01,,open,Bump path-parse from 1.0.6 to 1.0.7 in /packages/javascript/jupyterlab-plotly,"Bumps [path-parse](https://github.com/jbgutierrez/path-parse) from 1.0.6 to 1.0.7.
<details>
<summary>Commits</summary>
<ul>
<li>See full diff in <a href=""https://github.com/jbgutierrez/path-parse/commits/v1.0.7"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=path-parse&package-manager=npm_and_yarn&previous-version=1.0.6&new-version=1.0.7)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language

You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/plotly/plotly.py/network/alerts).

</details>",0,1,"['dependencies', 'javascript']"
1,707563246,3342,14579099,2021-08-10 18:19:59,,open,Bump tar from 6.1.0 to 6.1.7 in /packages/javascript/jupyterlab-plotly,"Bumps [tar](https://github.com/npm/node-tar) from 6.1.0 to 6.1.7.
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/npm/node-tar/commit/d61628cb40381d89f119431a16a4aab2fbecb056""><code>d61628c</code></a> 6.1.7</li>
<li><a href=""https://github.com/npm/node-tar/commit/9e018cf2a5e289d6b34d1a0157980070b3a14c75""><code>9e018cf</code></a> tests: run (and pass) on windows</li>
<li><a href=""https://github.com/npm/node-tar/commit/c2a0948fb7b70862f92828e7b37b622566ed367e""><code>c2a0948</code></a> fix: refactoring to pass tests on Windows</li>
<li><a href=""https://github.com/npm/node-tar/commit/d0ce670bdb7eed5861837538a0d18c7864ff71c6""><code>d0ce670</code></a> update deps</li>
<li><a href=""https://github.com/npm/node-tar/commit/53602669f58ddbeb3294d7196b3320aaaed22728""><code>5360266</code></a> fix: normalize paths on Windows systems</li>
<li><a href=""https://github.com/npm/node-tar/commit/9bc1729939eec1c822b528385b1cc513b9888835""><code>9bc1729</code></a> 6.1.6</li>
<li><a href=""https://github.com/npm/node-tar/commit/bdf4f5171340b890a62a5e578962ac143d34b3a9""><code>bdf4f51</code></a> fix: properly prefix hard links</li>
<li><a href=""https://github.com/npm/node-tar/commit/94b2a740115fdce20f265a029b0404d53c0a18c6""><code>94b2a74</code></a> chore: remove benchmarks from git repo</li>
<li><a href=""https://github.com/npm/node-tar/commit/ecaafb4777b7137421f2f0d6f40ab827654f9247""><code>ecaafb4</code></a> update deps</li>
<li><a href=""https://github.com/npm/node-tar/commit/bd4691c90478f41b2649a97048199e34927dc046""><code>bd4691c</code></a> 6.1.5</li>
<li>Additional commits viewable in <a href=""https://github.com/npm/node-tar/compare/v6.1.0...v6.1.7"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=tar&package-manager=npm_and_yarn&previous-version=6.1.0&new-version=6.1.7)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language

You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/plotly/plotly.py/network/alerts).

</details>",0,1,"['dependencies', 'javascript']"
2,707020373,3341,14579099,2021-08-10 04:30:48,2021-08-10 18:19:07,closed,Unpin six in requirements.txt,"Closes #3301. See that for context.

(Regarding the checklist, this change is so trivial that I think most things are not applicable.)

## Code PR

- [X] I have read through the [contributing notes](https://github.com/plotly/plotly.py/blob/master/contributing.md) and understand the structure of the package. In particular, if my PR modifies code of `plotly.graph_objects`, my modifications concern the `codegen` files and not generated files.
- [ ] I have added tests (if submitting a new feature or correcting a bug) or
  modified existing tests.
- [ ] For a new feature, I have added documentation examples in an existing or
  new tutorial notebook (please see the doc checklist as well).
- [ ] I have added a CHANGELOG entry if fixing/changing/adding anything substantial.
- [ ] For a new feature or a change in behaviour, I have updated the relevant docstrings in the code to describe the feature or behaviour (please see the doc checklist as well).
",4,2,[]
3,706876492,3340,14579099,2021-08-09 21:44:37,,open,Change URL from githubusercontent.com to github.io,"Shorter and nicer!

<!--
Please uncomment this block and take a look at this checklist if your PR is making substantial changes to **documentation**/impacts files in the `doc` directory. Check all that apply to your PR, and leave the rest unchecked to discuss with your reviewer! Not all boxes must be checked for every PR :)

If your PR modifies code of the `plotly` package, we have a different checklist
below :-).

### Documentation PR

- [ ] I've [seen the `doc/README.md` file](https://github.com/plotly/plotly.py/blob/master/doc/README.md)
- [ ] This change runs in the current version of Plotly on PyPI and targets the `doc-prod` branch OR it targets the `master` branch
- [ ] If this PR modifies the first example in a page or adds a new one, it is a `px` example if at all possible
- [ ] Every new/modified example has a descriptive title and motivating sentence or paragraph
- [ ] Every new/modified example is independently runnable
- [ ] Every new/modified example is optimized for short line count	and focuses on the Plotly/visualization-related aspects of the example rather than the computation required to produce the data being visualized
- [ ] Meaningful/relatable datasets are used for all new examples instead of randomly-generated data where possible
- [ ] The random seed is set if using randomly-generated data in new/modified examples
- [ ] New/modified remote datasets are loaded from https://plotly.github.io/datasets and added to https://github.com/plotly/datasets
- [ ] Large computations are avoided in the new/modified examples in favour of loading remote datasets that represent the output of such computations
- [ ] Imports are `plotly.graph_objects as go` / `plotly.express as px` / `plotly.io as pio`
- [ ] Data frames are always called `df`
- [ ] `fig = <something>` call is high up in each new/modified example (either `px.<something>` or `make_subplots` or `go.Figure`)
- [ ] Liberal use is made of `fig.add_*` and `fig.update_*` rather than `go.Figure(data=..., layout=...)` in every new/modified example
- [ ] Specific adders and updaters like `fig.add_shape` and `fig.update_xaxes` are used instead of big `fig.update_layout` calls in every new/modified example
- [ ] `fig.show()` is at the end of each new/modified example
- [ ] `plotly.plot()` and `plotly.iplot()` are not used in any new/modified example
- [ ] Hex codes for colors are not used in any new/modified example in favour of [these nice ones](https://github.com/plotly/plotly.py/issues/2192)

## Code PR

- [ ] I have read through the [contributing notes](https://github.com/plotly/plotly.py/blob/master/contributing.md) and understand the structure of the package. In particular, if my PR modifies code of `plotly.graph_objects`, my modifications concern the `codegen` files and not generated files.
- [ ] I have added tests (if submitting a new feature or correcting a bug) or
  modified existing tests.
- [ ] For a new feature, I have added documentation examples in an existing or
  new tutorial notebook (please see the doc checklist as well).
- [ ] I have added a CHANGELOG entry if fixing/changing/adding anything substantial.
- [ ] For a new feature or a change in behaviour, I have updated the relevant docstrings in the code to describe the feature or behaviour (please see the doc checklist as well).

-->
",0,1,[]
4,704813716,3336,14579099,2021-08-05 15:34:30,,open,Initial stab at supporting pandas NAType with json serialization,"Starts addressing https://github.com/plotly/plotly.py/issues/3253

<!--
Please uncomment this block and take a look at this checklist if your PR is making substantial changes to **documentation**/impacts files in the `doc` directory. Check all that apply to your PR, and leave the rest unchecked to discuss with your reviewer! Not all boxes must be checked for every PR :)

If your PR modifies code of the `plotly` package, we have a different checklist
below :-).

### Documentation PR

- [ ] I've [seen the `doc/README.md` file](https://github.com/plotly/plotly.py/blob/master/doc/README.md)
- [ ] This change runs in the current version of Plotly on PyPI and targets the `doc-prod` branch OR it targets the `master` branch
- [ ] If this PR modifies the first example in a page or adds a new one, it is a `px` example if at all possible
- [ ] Every new/modified example has a descriptive title and motivating sentence or paragraph
- [ ] Every new/modified example is independently runnable
- [ ] Every new/modified example is optimized for short line count	and focuses on the Plotly/visualization-related aspects of the example rather than the computation required to produce the data being visualized
- [ ] Meaningful/relatable datasets are used for all new examples instead of randomly-generated data where possible
- [ ] The random seed is set if using randomly-generated data in new/modified examples
- [ ] New/modified remote datasets are loaded from https://plotly.github.io/datasets and added to https://github.com/plotly/datasets
- [ ] Large computations are avoided in the new/modified examples in favour of loading remote datasets that represent the output of such computations
- [ ] Imports are `plotly.graph_objects as go` / `plotly.express as px` / `plotly.io as pio`
- [ ] Data frames are always called `df`
- [ ] `fig = <something>` call is high up in each new/modified example (either `px.<something>` or `make_subplots` or `go.Figure`)
- [ ] Liberal use is made of `fig.add_*` and `fig.update_*` rather than `go.Figure(data=..., layout=...)` in every new/modified example
- [ ] Specific adders and updaters like `fig.add_shape` and `fig.update_xaxes` are used instead of big `fig.update_layout` calls in every new/modified example
- [ ] `fig.show()` is at the end of each new/modified example
- [ ] `plotly.plot()` and `plotly.iplot()` are not used in any new/modified example
- [ ] Hex codes for colors are not used in any new/modified example in favour of [these nice ones](https://github.com/plotly/plotly.py/issues/2192)

## Code PR

- [ ] I have read through the [contributing notes](https://github.com/plotly/plotly.py/blob/master/contributing.md) and understand the structure of the package. In particular, if my PR modifies code of `plotly.graph_objects`, my modifications concern the `codegen` files and not generated files.
- [ ] I have added tests (if submitting a new feature or correcting a bug) or
  modified existing tests.
- [ ] For a new feature, I have added documentation examples in an existing or
  new tutorial notebook (please see the doc checklist as well).
- [ ] I have added a CHANGELOG entry if fixing/changing/adding anything substantial.
- [ ] For a new feature or a change in behaviour, I have updated the relevant docstrings in the code to describe the feature or behaviour (please see the doc checklist as well).

-->
",0,1,[]
5,702935127,3331,14579099,2021-08-04 03:59:40,2021-08-10 18:20:04,closed,Bump tar from 6.1.0 to 6.1.5 in /packages/javascript/jupyterlab-plotly,"Bumps [tar](https://github.com/npm/node-tar) from 6.1.0 to 6.1.5.
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/npm/node-tar/commit/bd4691c90478f41b2649a97048199e34927dc046""><code>bd4691c</code></a> 6.1.5</li>
<li><a href=""https://github.com/npm/node-tar/commit/d694c4f810d864badf223efa35d24a000d780179""><code>d694c4f</code></a> ci: test on node 16</li>
<li><a href=""https://github.com/npm/node-tar/commit/84acbd31288541100910a528e437f901f8012214""><code>84acbd3</code></a> fix(unpack): fix hang on large file on open() fail</li>
<li><a href=""https://github.com/npm/node-tar/commit/97c46fcee7e4e7849ea3432086c4537fb6197025""><code>97c46fc</code></a> fix(unpack): always resume parsing after an entry error</li>
<li><a href=""https://github.com/npm/node-tar/commit/488ab8c01de69379406d937419fa3e5550e651c0""><code>488ab8c</code></a> chore: WriteEntry cleaner write() handling</li>
<li><a href=""https://github.com/npm/node-tar/commit/be89aafd95296e9721e124b77eee7c745e1c1e97""><code>be89aaf</code></a> WriteEntry backpressure</li>
<li><a href=""https://github.com/npm/node-tar/commit/ba73f5eea55f9cf65048b4d9578462ec8f80bc5e""><code>ba73f5e</code></a> chore: track fs state on WriteEntry class, not in arguments</li>
<li><a href=""https://github.com/npm/node-tar/commit/bf693837b3dcfeb76878b212310302dc5dc3d3dc""><code>bf69383</code></a> 6.1.4</li>
<li><a href=""https://github.com/npm/node-tar/commit/06cbde5935aa7643f578f874de84a7da2a74fe3a""><code>06cbde5</code></a> Avoid an unlikely but theoretically possible redos</li>
<li><a href=""https://github.com/npm/node-tar/commit/0b78386c53b00dce422742e19de94f2a4d9389f3""><code>0b78386</code></a> 6.1.3</li>
<li>Additional commits viewable in <a href=""https://github.com/npm/node-tar/compare/v6.1.0...v6.1.5"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=tar&package-manager=npm_and_yarn&previous-version=6.1.0&new-version=6.1.5)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language

You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/plotly/plotly.py/network/alerts).

</details>",1,1,"['dependencies', 'javascript']"
6,702517868,3330,14579099,2021-08-03 18:55:22,,open,PX ECDF and KDE,"Resolves #3010 and supersedes https://github.com/plotly/plotly.py/pull/2765 by adding ECDF to PX itself, as well as KDE.",0,8,[]
7,701906843,3326,14579099,2021-08-03 02:38:43,2021-08-03 20:46:28,closed,ability to show markers on lines,"Closes #2719  

- [x] For a new feature, I have added documentation examples in an existing or
  new tutorial notebook (please see the doc checklist as well).
- [x] I have added a CHANGELOG entry if fixing/changing/adding anything substantial.
- [x] For a new feature or a change in behaviour, I have updated the relevant docstrings in the code to describe the feature or behaviour (please see the doc checklist as well).

",0,5,[]
8,696363234,3316,14579099,2021-07-24 15:04:45,2021-07-25 00:11:09,closed,Remove duplicate import in documentation,"It is a very small modification to documentation: no substantial changes.

Please uncomment this block and take a look at this checklist if your PR is making substantial changes to **documentation**/impacts files in the `doc` directory. Check all that apply to your PR, and leave the rest unchecked to discuss with your reviewer! Not all boxes must be checked for every PR :)

### Documentation PR

- [x] I've [seen the `doc/README.md` file](https://github.com/plotly/plotly.py/blob/master/doc/README.md)
- [x] This change runs in the current version of Plotly on PyPI and targets the `doc-prod` branch OR it targets the `master` branch
- [x] If this PR modifies the first example in a page or adds a new one, it is a `px` example if at all possible
- [x] Every new/modified example has a descriptive title and motivating sentence or paragraph
- [x] Every new/modified example is independently runnable
- [x] Every new/modified example is optimized for short line count	and focuses on the Plotly/visualization-related aspects of the example rather than the computation required to produce the data being visualized
- [ ] ...",1,1,[]
9,696170471,3314,14579099,2021-07-23 19:38:08,,open,bumping Plotly.js to 2.3.0,,0,1,[]
