index,id,number,repo_id,created_at,closed_at,state,title,body,total_comments,total_commits,labels
0,705917398,2167,8935948,2021-08-07 16:54:30,,open,Remove vispy.js submodule and ipynb_webgl backend,"Now that the `jupyter_rfb` backend is available and performs so much better than the existing ipynb_webgl backend, this PR removes the `ipynb_webgl` and everything that was added for ipython or jupyter webgl-based. This includes the backend, the `js` git submodule, and all ipython webhooks which were old and not actually used by anything, and the setup.py trying to build the jupyter widget.

TODO:

- [ ] Update notebook examples to use jupyter_rfb (or at least don't mention webgl)",8,5,"['type: enhancement', 'code-quality', 'component: app', 'build']"
1,703413577,2164,8935948,2021-08-04 12:41:28,2021-08-05 21:15:59,closed,Remove 'VNC' backend,"The VNC backed was based on the same idea as the new jupyter_rfb backend, but it was always experimental and disabled by default.",0,2,"['type: enhancement', 'component: app']"
2,703275647,2162,8935948,2021-08-04 10:43:33,2021-08-05 21:22:47,closed,Cleanup init in backends,"I had a stab at doing clean `super().__init__(...)` in all the backend code, but that broke for Qt. Might be fixable but that would only complicate the code. So let's stick with the rule that the backend must call both the `BaseCanvasBackend.__init__` and the native widget's `__init__`.

* Most changes replace `*args` with just a `vispy_canvas` argument.
* Changed superclass order in a few places.
* ~Use `_process_backend_kwargs` in jupyter_rfb backend.~
* Also a tweak to flake8 config to ignore errors from certain flake8 extensions that one might have installed in the env.",0,4,[]
3,700222063,2160,8935948,2021-07-30 11:31:24,2021-07-30 19:48:17,closed,Refactor texture_lut() Colormap method to BaseColormap for cleaner usage,"Just some code sanitizing, as promised in https://github.com/vispy/vispy/pull/2150#discussion_r673866637.",0,4,"['type: enhancement', 'code-quality', 'component: visuals', 'component: color']"
4,696527189,2156,8935948,2021-07-25 16:16:15,,open,Add MultiChannelImageVisual,"This is something I've had in my work vispy-based project (SIFT) for a while, but only recent extracted all of the SIFT-specific stuff so that it could be included in vispy. This is something I've talked to @tlambert03 in other PRs about possible using as a based for some more complex ImageVisual logic. This Visual is an ImageVisual for RGB images, but each channel is its own texture (pro: full 32-bit float precision per-channel) and a clim and gamma for each channel as well. This is a very common use case for the field I'm in where people want to take remote sensing satellite imagery data and combine the individual wavelength ""bands"" into RGB images. You typically see recipes with brightness temperature limits (clims) and gamma corrections.

This visual also allows you to only fill in some of the bands. So maybe you only have the R channel filled in, but G and B are set to `None` (small array of NaNs in-texture).

I could add more tests to this and/or an example, but I wanted to get any feedback from people before I go too deep. @kmuehlbauer @tlambert03 @almarklein Thoughts?",10,9,"['type: enhancement', 'component: visuals']"
5,694506862,2152,8935948,2021-07-21 16:01:18,2021-07-21 22:15:58,closed,Test PR to see if the CI segfault is in main,,2,2,[]
6,693594435,2150,8935948,2021-07-20 15:56:28,2021-07-21 12:26:42,closed,Fix `VolumeVisual.cmap` setter not working for most colormaps,"Right now, updating the `cmap` property of the volume visual either doesn't change anything or results in an ugly traceback. This PR is upstreaming a fix for that from napari, originally made by @sofroniewn.

Here is an example you can play with
```python
# -*- coding: utf-8 -*-
# -----------------------------------------------------------------------------
# Copyright (c) Vispy Development Team. All Rights Reserved.
# Distributed under the (new) BSD License. See LICENSE.txt for more info.
# -----------------------------------------------------------------------------
# vispy: gallery 2

""""""
Example volume rendering

Controls:

* 1  - change colormap
""""""

from itertools import cycle

import numpy as np

from vispy import app, scene, io
from vispy.color import get_colormaps, BaseColormap
from vispy.visuals.transforms import STTransform

# Read volume
vol1 = np.load(io.load_data_file('volume/stent.npz'))['arr_0']

# Prepare canvas
canvas = scene.SceneCanvas(keys='interactive', size=(800, 600), show=True)

# Set up a viewbox to display the image with interactive pan/zoom
view = canvas.central_widget.add_view()

# Create the volume visual
volume = scene.visuals.Volume(vol1, parent=view.scene, threshold=0.225)


# Create three cameras (Fly, Turntable and Arcball)
fov = 60.
cam1 = scene.cameras.FlyCamera(parent=view.scene, fov=fov, name='Fly')
cam2 = scene.cameras.TurntableCamera(parent=view.scene, fov=fov,
                                     name='Turntable')
cam3 = scene.cameras.ArcballCamera(parent=view.scene, fov=fov, name='Arcball')
view.camera = cam2  # Select turntable at first

# Create an XYZAxis visual
axis = scene.visuals.XYZAxis(parent=view)
s = STTransform(translate=(50, 50), scale=(50, 50, 50, 1))
affine = s.as_matrix()
axis.transform = affine


@canvas.events.mouse_move.connect
def on_mouse_move(event):
    if event.button == 1 and event.is_dragging:
        axis.transform.reset()

        axis.transform.rotate(cam2.roll, (0, 0, 1))
        axis.transform.rotate(cam2.elevation, (1, 0, 0))
        axis.transform.rotate(cam2.azimuth, (0, 1, 0))

        axis.transform.scale((50, 50, 0.001))
        axis.transform.translate((50., 50.))
        axis.update()

current_cmap = 'grays'
cmaps = ['grays', 'reds', 'greens', 'blues']

# Implement key presses
@canvas.events.key_press.connect
def on_key_press(event):
    global current_cmap
    if event.text == '1':
        current_cmap = cmaps[(cmaps.index(current_cmap) + 1) % 4]
        volume.cmap = current_cmap

if __name__ == '__main__':
    print(__doc__)
    app.run()

```

Example of the ugly traceback without this PR
```python
WARNING: Error drawing visual <Volume at 0x172387dc0>
WARNING: Traceback (most recent call last):
  File ""/Users/aburt/Programming/vispy/playground/volume_simple.py"", line 80, in <module>
    app.run()
  File ""/Users/aburt/Programming/vispy/vispy/app/_default_app.py"", line 60, in run
    return default_app.run()
  File ""/Users/aburt/Programming/vispy/vispy/app/application.py"", line 155, in run
    return self._backend._vispy_run()
  File ""/Users/aburt/Programming/vispy/vispy/app/backends/_qt.py"", line 292, in _vispy_run
    return app.exec_()
  File ""/Users/aburt/Programming/vispy/vispy/app/backends/_qt.py"", line 526, in event
    out = super(QtBaseCanvasBackend, self).event(ev)
  File ""/Users/aburt/Programming/vispy/vispy/app/backends/_qt.py"", line 526, in event
    out = super(QtBaseCanvasBackend, self).event(ev)
  File ""/Users/aburt/Programming/vispy/vispy/app/backends/_qt.py"", line 846, in paintGL
    self._vispy_canvas.events.draw(region=None)
  File ""/Users/aburt/Programming/vispy/vispy/util/event.py"", line 453, in __call__
    self._invoke_callback(cb, event)
  File ""/Users/aburt/Programming/vispy/vispy/util/event.py"", line 471, in _invoke_callback
    _handle_exception(self.ignore_callback_errors,
  << caught exception here: >>
  File ""/Users/aburt/Programming/vispy/vispy/util/event.py"", line 469, in _invoke_callback
    cb(event)
  File ""/Users/aburt/Programming/vispy/vispy/scene/canvas.py"", line 218, in on_draw
    self._draw_scene()
  File ""/Users/aburt/Programming/vispy/vispy/scene/canvas.py"", line 277, in _draw_scene
    self.draw_visual(self.scene)
  File ""/Users/aburt/Programming/vispy/vispy/scene/canvas.py"", line 315, in draw_visual
    node.draw()
  File ""/Users/aburt/Programming/vispy/vispy/scene/visuals.py"", line 99, in draw
    self._visual_superclass.draw(self)
  File ""/Users/aburt/Programming/vispy/vispy/visuals/visual.py"", line 451, in draw
    self._program.draw(self._vshare.draw_mode,
  File ""/Users/aburt/Programming/vispy/vispy/visuals/shaders/program.py"", line 102, in draw
    Program.draw(self, *args, **kwargs)
  File ""/Users/aburt/Programming/vispy/vispy/gloo/program.py"", line 526, in draw
    canvas.context.flush_commands()
  File ""/Users/aburt/Programming/vispy/vispy/gloo/context.py"", line 172, in flush_commands
    self.glir.flush(self.shared.parser)
  File ""/Users/aburt/Programming/vispy/vispy/gloo/glir.py"", line 579, in flush
    self._shared.flush(parser)
  File ""/Users/aburt/Programming/vispy/vispy/gloo/glir.py"", line 501, in flush
    parser.parse(self._filter(self.clear(), parser))
  File ""/Users/aburt/Programming/vispy/vispy/gloo/glir.py"", line 819, in parse
    self._parse(command)
  File ""/Users/aburt/Programming/vispy/vispy/gloo/glir.py"", line 781, in _parse
    ob.draw(*args)
  File ""/Users/aburt/Programming/vispy/vispy/gloo/glir.py"", line 1344, in draw
    gl.check_error('Check after draw')
  File ""/Users/aburt/Programming/vispy/vispy/gloo/gl/__init__.py"", line 204, in check_error
    raise err
RuntimeError: OpenGL got errors (Check after draw): GL_INVALID_OPERATION
ERROR: Invoking <bound method SceneCanvas.on_draw of <SceneCanvas (PyQt5) at 0x15be77c10>> for DrawEvent
WARNING: Error drawing visual <Volume at 0x172387dc0>
ERROR: Invoking <bound method SceneCanvas.on_draw of <SceneCanvas (PyQt5) at 0x15be77c10>> repeat 2
WARNING: Error drawing visual <Volume at 0x172387dc0>
```

",8,3,"['type: bug', 'component: visuals', 'priority: high']"
7,691984543,2149,8935948,2021-07-17 20:32:42,,open,Rendering arbitrary planes in the `VolumeVisual`,"
https://user-images.githubusercontent.com/7307488/126048864-4c694229-3d41-4e3b-9362-b064d41cb54b.mp4

This PR supersedes #2074 to implement the rendering of arbitrary planes through volumetric data in the `VolumeVisual` - please see a detailed explanation of the rendering in #2074.

The reason for a new PR was that I wanted to incorporate changes from the current main branch of vispy and also #2117 (and brisvag/vispy#2) which improves the way alternative rendering modes are handled in the visual. ",10,20,"['type: enhancement', 'component: visuals']"
8,691971937,2148,8935948,2021-07-17 18:36:34,2021-07-23 19:26:45,closed,Switch examples and website gallery to sphinx-gallery,"Depends on https://github.com/vispy/vispy-website/pull/40. See that PR for details.

Closes #2122 ",23,72,"['type: example', 'docs-website']"
9,691650045,2144,8935948,2021-07-16 17:44:26,2021-07-16 18:20:53,closed,Add filter keyword arguments to subclassed filters,"This PR will allow users to pass keyword arguments to the subclassed filters in ```color.py```.

Closes #2143 ",5,3,"['type: bug', 'component: visuals']"
