index,id,number,repo_id,created_at,closed_at,state,title,body,total_comments,total_commits,labels
0,693725709,545,1324413,2021-07-20 18:56:05,,open,Use sipbuild API instead of invoking sip as a subprocess,"This adds support for the latest SIP versions (6.x) but removes support for SIP v4.

Background:

- SIP 5.0.0 was released on 2019-10-08.
- SIP 6.0.0 was released on 2021-01-04.
- SIP developer [wrote](https://www.riverbankcomputing.com/pipermail/pyqt/2020-September/043162.html) in September 2020:
  > SIP v4 has been deprecated for more than a year. *Nobody* should still be using it.
- In #433 I added support for SIP v5. The code used `sip5` legacy tool that was present in SIP v5 for compatibility with v4.
- In SIP v6, that tool is not present. So we have two ways: either use SIP's own buildsystem (`sip-build` command-line tool), or use the `sipbuild` API from Python. Here I went with the second approach.

To test this, try installing the latest versions of `sip`, `PyQt5` and `PyQt5.sip` from PyPI. On Debian, install `python3-sipbuild` from experimental (it may want to remove `sip5-tools`, if you need that package its new name is `sip-tools`).",3,1,[]
1,645321052,533,1324413,2021-05-16 14:06:22,2021-05-17 07:01:34,closed,Add metadata license. Use SPDX license. ,"If you prefer different ID let me know. The current ID use reverse-DNS scheme.
https://www.freedesktop.org/software/appstream/docs/chap-Metadata.html#spec-component-filespec

Add metadata license. 
Use SPDX license.
Add more screenshots, remove width and height, without them is fine.
Add help and bug tracker URL.
Add content rating.
Add releases.",1,3,[]
2,580916004,507,1324413,2021-02-26 14:52:20,2021-02-28 09:16:55,closed,Small changes: support iminuit 2,"This PR is related to  #502 and #464.

In the current version, Veusz crashes if used with iminuit 2.x.

I added a little modifications in `fit.py` to support iminuit 2.x.
This code works under either iminuit 1.x or 2.x.",1,3,[]
3,577067702,505,1324413,2021-02-21 07:30:16,2021-03-13 09:30:55,closed,Enabling copy and paste as image,"# Abstract
This pull request is an answer to https://github.com/veusz/veusz/issues/395#issue-589261447
This update enables
- copying a plot page to the clipboard as images
- pasting an clipboard image on the plot page.

I think it would be useful when users want to frequently exchange images with other software.
![output5](https://user-images.githubusercontent.com/30950088/108617671-bd32c880-745b-11eb-8023-a1ef08f0b3d4.gif)

# Copy as image
## Behavior
- ""Copy as Image"" menu appears when a user right click on the tree edit window.
- ""Ctrl + Alt + C"" is assigned to the shortcut of this action.
- DPI and other parameters depend on the settings of usual ""export"".
- ""Copy as Image"" exports the selected page as 3 types of images, and copies them to clipboard as 4 types of mime data
    - ""image/svg+xml"" (.svg)
    - ""image/png"" (.png)
    - ""PNG"" (.png)
    - ""image/x-bmp"" (.bmp)
- I checked that either of the 4 mime type can be pasted to major software, as shown below.

|  | image/svg+xml | image/png | PNG | image/x-bmp |
----|----|----|----|----|
| Inkscape | ok | ok | ok | ok |
| GIMP (on Ubuntu) | NG | ok | ok | ok |
| GIMP (on Windows) | NG | NG | ok | ok |
| LibreOffice (on Ubuntu)  | NG | ok | NG | NG |
| LibreOffice (on Windows) | NG | NG | ok | NG |
| MS Office (-2016) | NG | NG | ok | NG |
| MS Office (2019-, 365) | ok | NG | ok | NG |

## Changed files
- veusz.windows.treeeditwindow.py

## Known concerns & points to be discussed
- The images are exported as overall page, even when only several widgets in the page are selected. 
- I implemented ""Copy as Image"" separately from ""Copy"". Integrating them into ""Copy"" (always copy widget and image simulataneously) might be simpler. 

# Paste
## Behavior
- If clipboard contains image mime types, ""Paste"" action (on the tree edit window) convert the data to veusz ""imagefile"" widget, and then paste it.
- The program searches mime types in the following priority order:
    - 'text/x-vnd.veusz-widget-3', 'image/svg+xml', 'image/png', 'PNG', 'image/x‑xpixmap', 'image/x-bmp', 'image/x‑xbm', 'image/x‑xbitmap', 'image/tiff',  'image/jpeg', 'JFIF', 'GIF'
- I checked that images from major software (as shown below) can be correctly pasted.
    - Inkscape (as svg)
    - GIMP (as raster)
    - LibreOffice (as raster)
    - MS Office 2016 (as raster)
    - MS Office 2019, 365 (as svg)
    - Print-screen (not works on Windows)
    - Firefox, Chrome (not works on Windows)

## Changed files
- veusz.document.mime.py

## Known concerns & points to be discussed
- Print-screen images or copied images from web-browsers cannot be pasted on MS WIndows.
  It is because Windows HBITMAP format is not supported so far. HBITMAP data are not accessible by PyQt qt.QApplication.clipboard().mimeData().",5,5,[]
4,545788421,492,1324413,2020-12-27 10:10:01,2020-12-29 17:59:41,closed,Enable to embed external vector graphics,"This PR adds the function to import a .svg file as a vector image, not a raster image.

Veusz has powerful figure composing ability, in addition to the excellent plotting functions. Therefore, I think some users will have benefit if veusz can import an external vector-based images (e.g. chemical structures) without rasterizing. Although the ""add imagefile"" function also can import .svg vector graphics, it rasterizes the images and sometimes makes their resolutions low.

This PR implements `SVGFile` class, which is similar to `ImageFile` class.
- The `SVGFile` instances can be added by ""Add svgfile"" button in the shape tools menu.
- The `SVGFile` instances are rendered by `QSvgRenderer`.
- The `SVGFile` instances are encoded into base64 data with type of `svgfile`.

The imported image can be rendered and embedded as a vector image as shown in the picture below.

![1](https://user-images.githubusercontent.com/30950088/103167140-c3e1fc80-486b-11eb-84a6-90c0e31661b4.png)

`SVGFile` is implemented separately from `ImageFile` class to keep the backward compatibility and reduce unnecessary conditional branches. The newly added code in the `veusz.widgets.shape` may need to have more sophisticated (many of the method in the `SVGFile` and `ImageFile` are duplicated). I left it as is so far because I am new to the veusz policy for code design (e.g. Are function overloads discouraged or not?). I think there are some options. I would like to discuss how to improve it. 

I would appreciate if you consider adding this function.

Many Thanks!
korintje",5,10,[]
5,536082366,483,1324413,2020-12-10 16:59:18,2020-12-30 13:08:39,closed,Move all hide checkboxes to top,"This PR is born out of a personal frustration: I often check the effect of a setting by hiding/unhiding the widget. For this to work effectively, the hide checkbox should always be at the same place and easily reachable. IMHO this best place is at the very top of the settings, but #92 has a different idea (at the bottom – but then you always have to scroll down to the bottom …)

This PR implements this with the check box(es) always at the top. If the check box should be at the bottom, the method `setting.settings.Settings.getNames()` should be changed from
```python
    def getNames(self):
        """"""Return list of names.""""""
        return self.hideboxnames + self.setnames
```
to
```python
    def getNames(self):
        """"""Return list of names.""""""
        return self.setnames + self.hideboxnames
```
This could be even made a configuration option? But then I am not sure, if the reversal of
```python
   def saveText(self, saveall, rootname = None):
```
would still work, if the file is loaded with the checkboxes set to a different position …",16,3,[]
6,532781667,479,1324413,2020-12-04 20:52:51,2020-12-05 09:27:49,closed,Sort input file list,"Sort input file list
so that `veusz/helpers/qtloops.cpython-38-x86_64-linux-gnu.so` builds in a reproducible way
in spite of indeterministic filesystem readdir order

See https://reproducible-builds.org/ for why this is good.",1,1,[]
7,503245980,455,1324413,2020-10-14 09:42:44,2020-10-24 09:10:27,closed,Bugfix for boxplot,"Fixed calculation of bottom whisker in '1.5IQR' mode. Now effectivly
rounding up instead of down.

Closes #449 ",1,1,[]
8,476323379,440,1324413,2020-08-31 14:08:58,2020-08-31 18:12:13,closed,Minor fixes for api.rst,"Some small fixes for the two Python code blocks in the API doc page, section on Translating old to new style.

Maybe in an older version of the docs or Sphinx the quadruple backslashes were necessary, but now all four are passing into both the compiled [HTML](https://veusz.github.io/docs/manual/api.html#non-qt-python-programs) and [PDF](https://veusz.github.io/docs/manual.pdf) versions of docs, when only two backslashes are wanted.

The second fix is adding the y axis label, which was missed from the new style code block.

p.s. Thanks ever so much for developing Veusz. I've used it for many years and think it's fantastic. ",1,1,[]
9,475643771,439,1324413,2020-08-28 21:13:41,,open,Improved fitting,"Two small improvements to fitting function: choose default Y error, set plot range and fit range independently.",2,4,[]
